restro_id,names,links,Google-Maps Links,Latitude,Longitude,Rating
0,Drips Bakery and Cakes,https://www.zomato.com/manipal/drips-bakery-and-cakes-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3524510000,74.7840500000",13.352451,74.78405,4.5
1,McDonald's,https://www.zomato.com/manipal/mcdonalds-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3526305659,74.7900811583",13.35263057,74.79008116,4.5
2,7th Heaven - A Slice of Happiness,https://www.zomato.com/manipal/7th-heaven-a-slice-of-happiness-maruthi-veethika-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3401940000,74.7491880000",13.340194,74.749188,4.4
3,Domino's Pizza,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3470000000,74.7880000000",13.347,74.788,4.1
4,Cloud Nine,https://www.zomato.com/manipal/cloud-nine-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3599090000,74.7833110000",13.359909,74.783311,-1
5,Hadiqa,https://www.zomato.com/manipal/hadiqa-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3510260000,74.7878400000",13.351026,74.78784,4.3
6,Foodezze Cafe Grills And Subs,https://www.zomato.com/manipal/foodezze-cafe-grills-and-subs-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3571750000,74.7838860000",13.357175,74.783886,4.2
7,Arabian Tasty,https://www.zomato.com/manipal/arabian-tasty-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3517191260,74.7842148319",13.35171913,74.78421483,-1
8,Mehak E Punjab,https://www.zomato.com/manipal/mehak-e-punjab-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3566340000,74.7945917000",13.356634,74.7945917,-1
9,Subway,https://www.zomato.com/manipal/subway-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3531877365,74.7858362272",13.35318774,74.78583623,4.3
10,Dollops,https://www.zomato.com/manipal/dollops-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3517037940,74.7874559462",13.35170379,74.78745595,-1
11,Madhuvan Veg,https://www.zomato.com/manipal/madhuvan-veg-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3508700000,74.7874530000",13.35087,74.787453,-1
12,Cafe Boda Sheera,https://www.zomato.com/manipal/cafe-boda-sheera-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3530426000,74.7902280000",13.3530426,74.790228,-1
13,G2 Ginger Garlic,https://www.zomato.com/manipal/g2-ginger-garlic-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3553874499,74.7982534491",13.35538745,74.79825345,-1
14,Hot 'n' Spicy,https://www.zomato.com/manipal/hot-n-spicy-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3548947973,74.7845916823",13.3548948,74.78459168,-1
15,Manna Rolls,https://www.zomato.com/manipal/manna-rolls-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3524681000,74.7838122000",13.3524681,74.7838122,4.5
16,Pai Tiffins,https://www.zomato.com/manipal/pai-tiffins-5-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3528870000,74.7895280000",13.352887,74.789528,4.2
17,KFC,https://www.zomato.com/manipal/kfc-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3486102877,74.7819818929",13.34861029,74.78198189,4.1
18,Food Chemist,https://www.zomato.com/manipal/food-chemist-1-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3488540000,74.7815370000",13.348854,74.781537,-1
19,Shawarma Broast,https://www.zomato.com/manipal/shawarma-broast-maruthi-veethika-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3457833000,74.7557190000",13.3457833,74.755719,-1
20,Snack Shack,https://www.zomato.com/manipal/snack-shack-tiger-circle/order,"https://www.google.com/maps/dir/?api=1&destination=13.3521513590,74.7874549404",13.35215136,74.78745494,4.1
21,Manipal Express,https://www.zomato.com/manipal/manipal-express-1-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3518800000,74.7870570000",13.35188,74.787057,4.1
22,Pizza Hut,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3529410000,74.7901140000",13.352941,74.790114,-1
23,Polar Bear,https://www.zomato.com/manipal/polar-bear-1-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3530970000,74.7838970000",13.353097,74.783897,4.5
24,New Tiwari Chat,https://www.zomato.com/manipal/new-tiwari-chat-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3494551910,74.7918631509",13.34945519,74.79186315,-1
25,Crave Desserts &amp; Bakes,https://www.zomato.com/manipal/crave-desserts-bakes-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3583810000,74.7845030000",13.358381,74.784503,-1
26,UTSAAV - Om Sweets and Savouries,https://www.zomato.com/manipal/utsaav-om-sweets-and-savouries-maruthi-veethika-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3465110000,74.7610370000",13.346511,74.761037,-1
27,Friendly Fried Chicken,https://www.zomato.com/manipal/friendly-fried-chicken-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3457833000,74.7557190000",13.3457833,74.755719,-1
28,Teapot Cafe,https://www.zomato.com/manipal/teapot-cafe-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3482190000,74.7828430000",13.348219,74.782843,4.1
29,The Belgian Waffle Co.,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle/order,"https://www.google.com/maps/dir/?api=1&destination=13.3525460000,74.7890180000",13.352546,74.789018,4.4
30,Bacchus Inn,https://www.zomato.com/manipal/bacchus-inn-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3484504407,74.7800684720",13.34845044,74.78006847,-1
31,Zebra Spot Restaurant,https://www.zomato.com/manipal/zebra-spot-restaurant-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3548625026,74.7934768349",13.3548625,74.79347683,4.1
32,Natural Ice Cream,https://www.zomato.com/manipal/natural-ice-cream-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3480319023,74.7768015414",13.3480319,74.77680154,4.3
33,Red Kitchen,https://www.zomato.com/manipal/red-kitchen-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3494081000,74.7917913000",13.3494081,74.7917913,4.1
34,Anupam Restaurant,https://www.zomato.com/manipal/anupam-restaurant-tiger-circle/order,"https://www.google.com/maps/dir/?api=1&destination=13.3524670000,74.7890190000",13.352467,74.789019,4.1
35,A Cafe Story,https://www.zomato.com/manipal/a-cafe-story-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3511680000,74.7838670000",13.351168,74.783867,-1
36,WarmOven Cake &amp; Desserts,https://www.zomato.com/manipal/warmoven-cake-desserts-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429",13.34604957,74.76406954,4.3
37,Kathi Junction,https://www.zomato.com/manipal/kathi-junction-tiger-circle/order,"https://www.google.com/maps/dir/?api=1&destination=13.3506520000,74.7873990000",13.350652,74.787399,4.3
38,Indiana Burgers,https://www.zomato.com/manipal/indiana-burgers-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429",13.34604957,74.76406954,4.1
39,Country Inn - Mosaic,https://www.zomato.com/manipal/country-inn-mosaic-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3587084836,74.7851603106",13.35870848,74.78516031,-1
40,Burger It Up,https://www.zomato.com/manipal/burger-it-up-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3458720000,74.7637350000",13.345872,74.763735,-1
41,Udupi Sweet House &amp; Udupi Darshini,https://www.zomato.com/manipal/udupi-sweet-house-udupi-darshini-maruthi-veethika-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3451677000,74.7512907000",13.3451677,74.7512907,-1
42,UBQ By Barbeque Nation,https://www.zomato.com/manipal/ubq-by-barbeque-nation-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3492854000,74.7828254000",13.3492854,74.7828254,-1
43,Odeya Restaurant,https://www.zomato.com/manipal/odeya-restaurant-brahmagiri-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3439570680,74.7502781823",13.34395707,74.75027818,-1
44,Vito's Pizzeria &amp; Cafe,https://www.zomato.com/manipal/vitos-pizzeria-cafe-tiger-circle/order,"https://www.google.com/maps/dir/?api=1&destination=13.3524423717,74.7886324202",13.35244237,74.78863242,-1
45,Kediyoor's Pizza,https://www.zomato.com/manipal/kediyoors-pizza-kidiyoor-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3431050000,74.7465860000",13.343105,74.746586,4.3
46,Kaati Zone Rolls And Wraps,https://www.zomato.com/manipal/kaati-zone-rolls-and-wraps-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429",13.34604957,74.76406954,-1
47,Cupcake Bliss Cakes &amp; Desserts,https://www.zomato.com/manipal/cupcake-bliss-cakes-desserts-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429",13.34604957,74.76406954,4.1
48,Arabian Knights,https://www.zomato.com/manipal/arabian-knights-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3569972090,74.7837930546",13.35699721,74.78379305,-1
49,Spice 'n' Ice,https://www.zomato.com/manipal/spice-n-ice-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3569270745,74.7839469463",13.35692707,74.78394695,-1
50,Hakuna Matata,https://www.zomato.com/manipal/hakuna-matata-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3553987906,74.7983430326",13.35539879,74.79834303,-1
51,Frozen Bottle,https://www.zomato.com/manipal/frozen-bottle-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3528556525,74.7902162746",13.35285565,74.79021627,4.4
52,Kwality Wall's Frozen Dessert And Ice Cream Shop,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3466450000,74.7628883000",13.346645,74.7628883,-1
53,Hashtag,https://www.zomato.com/manipal/hashtag-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3553987906,74.7983430326",13.35539879,74.79834303,-1
54,Dolce Desserts,https://www.zomato.com/manipal/dolce-desserts-tiger-circle/order,"https://www.google.com/maps/dir/?api=1&destination=13.3489003098,74.7815933588",13.34890031,74.78159336,4.3
55,New Shanthi Sagar,https://www.zomato.com/manipal/new-shanthi-sagar-brahmagiri-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3437170000,74.7501700000",13.343717,74.75017,-1
56,Hotel Swadisht,https://www.zomato.com/manipal/hotel-swadisht-kinnimulki-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3444201450,74.7424880381",13.34442015,74.74248804,4.1
57,Hotel Kediyoor Gokula Krishna,https://www.zomato.com/manipal/hotel-kediyoor-gokula-krishna-kidiyoor-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3430940000,74.7466610000",13.343094,74.746661,4.4
58,Bamboo Chef Restaurant,https://www.zomato.com/manipal/bamboo-chef-restaurant-kinnimulki-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3251560000,74.7405670000",13.325156,74.740567,-1
59,Vedanth,https://www.zomato.com/manipal/vedanth-maruthi-veethika-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3438230000,74.7496590000",13.343823,74.749659,-1
60,Crumbz,https://www.zomato.com/manipal/crumbz-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3509066703,74.7839141371",13.35090667,74.78391414,-1
61,CTF Udupi,https://www.zomato.com/manipal/ctf-udupi-brahmagiri-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3403277426,74.7481283699",13.34032774,74.74812837,4.2
62,Scoop N Bake,https://www.zomato.com/manipal/scoop-n-bake-doddanagudde-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3687500000,74.7473610000",13.36875,74.747361,4.4
63,FFC Shawarma,https://www.zomato.com/manipal/ffc-shawarma-maruthi-veethika-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3457731523,74.7556841746",13.34577315,74.75568417,4.1
64,Baskin Robbins,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3481193289,74.7828693688",13.34811933,74.78286937,4.5
65,Hot Chix,https://www.zomato.com/manipal/hot-chix-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3567868837,74.7838455243",13.35678688,74.78384552,4.1
66,Hotel Pancharatna Paradise,https://www.zomato.com/manipal/hotel-pancharatna-paradise-kinnimulki/order,"https://www.google.com/maps/dir/?api=1&destination=13.3345424000,74.7493575000",13.3345424,74.7493575,4.1
67,Sundae Everyday Ice Creams,https://www.zomato.com/manipal/sundae-everyday-ice-creams-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429",13.34604957,74.76406954,4.1
68,Hotel Sri Durga Bhavana,https://www.zomato.com/manipal/hotel-sri-durga-bhavana-brahmagiri-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3404230000,74.7482230000",13.340423,74.748223,-1
69,Kediyoor Confectionery,https://www.zomato.com/manipal/kediyoor-confectionery-kidiyoor-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3431050000,74.7465860000",13.343105,74.746586,-1
70,Hotel Parota Point,https://www.zomato.com/manipal/hotel-parota-point-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3448448360,74.7906380460",13.34484484,74.79063805,4.2
71,Le Shaay,https://www.zomato.com/manipal/le-shaay-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3587650000,74.7848310000",13.358765,74.784831,-1
72,Chef Food Court,https://www.zomato.com/manipal/chef-food-court-saralebettu/order,"https://www.google.com/maps/dir/?api=1&destination=13.3561066775,74.7946484976",13.35610668,74.7946485,-1
73,Summer Park Deluxe A/C &amp; Non A/C Family Restaurant,https://www.zomato.com/manipal/summer-park-deluxe-a-c-non-a-c-family-restaurant-maruthi-veethika/order,"https://www.google.com/maps/dir/?api=1&destination=13.3441120000,74.7504840000",13.344112,74.750484,4.3
74,Barista,https://www.zomato.com/manipal/barista-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3527564839,74.7899591178",13.35275648,74.78995912,-1
75,Juice Junction,https://www.zomato.com/manipal/juice-junction-tiger-circle/order,"https://www.google.com/maps/dir/?api=1&destination=13.3528521800,74.7892796100",13.35285218,74.78927961,4.2
76,Naaniz,https://www.zomato.com/manipal/naaniz-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3619873000,74.7832522000",13.3619873,74.7832522,-1
77,Wokaholic,https://www.zomato.com/manipal/wokaholic-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3488540000,74.7815370000",13.348854,74.781537,-1
78,Hangyo Ice Cream,https://www.zomato.com/manipal/hangyo-ice-cream-1-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3526461000,74.7882572000",13.3526461,74.7882572,-1
79,Barbeque Nation,https://www.zomato.com/manipal/barbeque-nation-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3492806649,74.7826728970",13.34928066,74.7826729,4.5
80,LA Rochelle,https://www.zomato.com/manipal/la-rochelle-vidyaratna-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3585802489,74.7848915994",13.35858025,74.7848916,-1
81,Scoops N Smiles,https://www.zomato.com/manipal/scoops-n-smiles-kidiyoor-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3437016342,74.7462967783",13.34370163,74.74629678,4.3
82,The Dessert Zone,https://www.zomato.com/manipal/the-dessert-zone-kunjibettu-udupi/order,"https://www.google.com/maps/dir/?api=1&destination=13.3458720000,74.7637350000",13.345872,74.763735,-1
83,Vaibhav,https://www.zomato.com/manipal/vaibhav-eshwar-nagar/order,"https://www.google.com/maps/dir/?api=1&destination=13.3532745088,74.7859602794",13.35327451,74.78596028,-1
