restro_id,Sim_Restaurant
0,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
0,https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar
0,https://www.zomato.com/manipal/kediyoor-confectionery-kidiyoor-udupi
1,https://www.zomato.com/manipal/hotel-thaamboolam-kinnimulki
2,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle
2,https://www.zomato.com/manipal/cupcake-bliss-cakes-desserts-kunjibettu-udupi
3,https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar
3,https://www.zomato.com/manipal/dolphin-lunch-home-maruthi-veethika
4,https://www.zomato.com/manipal/kathi-junction-tiger-circle
4,https://www.zomato.com/manipal/a-cafe-story-vidyaratna-nagar
5,https://www.zomato.com/manipal/mcdonalds-eshwar-nagar
5,https://www.zomato.com/manipal/barista-eshwar-nagar
5,https://www.zomato.com/manipal/bacchus-inn-vidyaratna-nagar
5,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
5,https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar
6,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
6,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
6,https://www.zomato.com/manipal/kaati-zone-rolls-and-wraps-kunjibettu-udupi
7,https://www.zomato.com/manipal/kathi-junction-tiger-circle
7,https://www.zomato.com/manipal/manipal-express-1-eshwar-nagar
8,https://www.zomato.com/manipal/cloud-nine-vidyaratna-nagar
9,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle
9,https://www.zomato.com/manipal/indiana-burgers-kunjibettu-udupi
10,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
10,https://www.zomato.com/manipal/country-inn-mosaic-vidyaratna-nagar
10,https://www.zomato.com/manipal/food-chemist-1-vidyaratna-nagar
11,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
11,https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar
11,https://www.zomato.com/manipal/udupi-sweet-house-udupi-darshini-maruthi-veethika-udupi
12,https://www.zomato.com/manipal/cloud-nine-vidyaratna-nagar
13,https://www.zomato.com/manipal/cloud-nine-vidyaratna-nagar
14,https://www.zomato.com/manipal/kathi-junction-tiger-circle
14,https://www.zomato.com/manipal/manipal-express-1-eshwar-nagar
15,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
15,https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar
15,https://www.zomato.com/manipal/kaati-zone-rolls-and-wraps-kunjibettu-udupi
16,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
16,https://www.zomato.com/manipal/manna-rolls-vidyaratna-nagar
17,https://www.zomato.com/manipal/mcdonalds-eshwar-nagar
17,https://www.zomato.com/manipal/coast-asia-eshwar-nagar
18,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
18,https://www.zomato.com/manipal/madhuvan-veg-eshwar-nagar
19,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
19,https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar
19,https://www.zomato.com/manipal/friendly-fried-chicken-kunjibettu-udupi
20,https://www.zomato.com/manipal/kathi-junction-tiger-circle
20,https://www.zomato.com/manipal/cloud-nine-vidyaratna-nagar
21,https://www.zomato.com/manipal/kathi-junction-tiger-circle
21,https://www.zomato.com/manipal/arabian-tasty-tiger-circle
22,https://www.zomato.com/manipal/summer-park-deluxe-a-c-non-a-c-family-restaurant-maruthi-veethika
23,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
23,https://www.zomato.com/manipal/scoop-n-bake-doddanagudde-udupi
23,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
24,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
24,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
24,https://www.zomato.com/manipal/five-star-chicken-eshwar-nagar
25,https://www.zomato.com/manipal/barista-eshwar-nagar
25,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
25,https://www.zomato.com/manipal/drips-bakery-and-cakes-vidyaratna-nagar
26,https://www.zomato.com/manipal/summer-park-deluxe-a-c-non-a-c-family-restaurant-maruthi-veethika
26,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
27,https://www.zomato.com/manipal/arabian-knights-vidyaratna-nagar
28,https://www.zomato.com/manipal/la-rochelle-vidyaratna-nagar
29,https://www.zomato.com/manipal/subway-eshwar-nagar
30,https://www.zomato.com/manipal/barista-eshwar-nagar
30,https://www.zomato.com/manipal/barbeque-nation-vidyaratna-nagar
30,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
30,https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar
30,https://www.zomato.com/manipal/country-inn-mosaic-vidyaratna-nagar
31,https://www.zomato.com/manipal/dishes-family-restaurant-vidyaratna-nagar
31,https://www.zomato.com/manipal/kathi-junction-tiger-circle
32,https://www.zomato.com/manipal/kediyoors-pizza-kidiyoor-udupi
32,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
33,https://www.zomato.com/manipal/kathi-junction-tiger-circle
33,https://www.zomato.com/manipal/hot-n-spicy-vidyaratna-nagar
34,https://www.zomato.com/manipal/northy-mess-1-eshwar-nagar
35,https://www.zomato.com/manipal/cloud-nine-vidyaratna-nagar
36,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
36,https://www.zomato.com/manipal/polar-bear-1-vidyaratna-nagar
36,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
37,https://www.zomato.com/manipal/chef-food-court-saralebettu
38,https://www.zomato.com/manipal/subway-eshwar-nagar
38,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle
39,https://www.zomato.com/manipal/fullfills-shivalli
40,https://www.zomato.com/manipal/barista-eshwar-nagar
40,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
40,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
40,https://www.zomato.com/manipal/kouzina-kafe-the-food-court-kunjibettu-udupi
41,https://www.zomato.com/manipal/barista-eshwar-nagar
41,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
41,https://www.zomato.com/manipal/madhuvan-veg-eshwar-nagar
41,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
42,https://www.zomato.com/manipal/kathi-junction-tiger-circle
42,https://www.zomato.com/manipal/spice-n-ice-vidyaratna-nagar
43,https://www.zomato.com/manipal/bamboo-chef-restaurant-kinnimulki-udupi
44,https://www.zomato.com/manipal/la-rochelle-vidyaratna-nagar
45,https://www.zomato.com/manipal/mcdonalds-eshwar-nagar
45,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
45,https://www.zomato.com/manipal/scoop-n-bake-doddanagudde-udupi
45,https://www.zomato.com/manipal/shivanna-donne-biryani-brahmagiri-udupi
45,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
46,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
46,https://www.zomato.com/manipal/manna-rolls-vidyaratna-nagar
46,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
47,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle
47,https://www.zomato.com/manipal/dolce-desserts-tiger-circle
47,https://www.zomato.com/manipal/7th-heaven-a-slice-of-happiness-maruthi-veethika-udupi
47,https://www.zomato.com/manipal/dominos-pizza-kunjibettu-udupi
48,https://www.zomato.com/manipal/ruchitha-restaurant-1-eshwar-nagar
49,https://www.zomato.com/manipal/kathi-junction-tiger-circle
49,https://www.zomato.com/manipal/ubq-by-barbeque-nation-vidyaratna-nagar
50,https://www.zomato.com/manipal/country-inn-mosaic-vidyaratna-nagar
50,https://www.zomato.com/manipal/the-laughing-buddha-vidyaratna-nagar
51,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
51,https://www.zomato.com/manipal/barcode-restro-tiger-circle
51,https://www.zomato.com/manipal/shivanna-donne-biryani-brahmagiri-udupi
51,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
52,https://www.zomato.com/manipal/frozen-bottle-eshwar-nagar
52,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
53,https://www.zomato.com/manipal/hotel-parota-point-eshwar-nagar
53,https://www.zomato.com/manipal/kathi-junction-tiger-circle
54,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle
54,https://www.zomato.com/manipal/dominos-pizza-kunjibettu-udupi
54,https://www.zomato.com/manipal/hangyo-ice-cream-1-eshwar-nagar
55,https://www.zomato.com/manipal/barista-eshwar-nagar
55,https://www.zomato.com/manipal/kediyoor-confectionery-kidiyoor-udupi
56,https://www.zomato.com/manipal/hangyo-ctf-eshwar-nagar
56,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
56,https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar
57,https://www.zomato.com/manipal/country-inn-mosaic-vidyaratna-nagar
57,https://www.zomato.com/manipal/madhuvan-veg-eshwar-nagar
58,https://www.zomato.com/manipal/mcdonalds-eshwar-nagar
58,https://www.zomato.com/manipal/barista-eshwar-nagar
58,https://www.zomato.com/manipal/odeya-restaurant-brahmagiri-udupi
58,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
59,https://www.zomato.com/manipal/barista-eshwar-nagar
59,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
59,https://www.zomato.com/manipal/summer-park-deluxe-a-c-non-a-c-family-restaurant-maruthi-veethika
59,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
60,https://www.zomato.com/manipal/mtr-1924-kinnimulki
61,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
61,https://www.zomato.com/manipal/dolphin-lunch-home-maruthi-veethika
61,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
62,https://www.zomato.com/manipal/mcdonalds-eshwar-nagar
62,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
62,https://www.zomato.com/manipal/kediyoors-pizza-kidiyoor-udupi
62,https://www.zomato.com/manipal/shivanna-donne-biryani-brahmagiri-udupi
62,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
63,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
63,https://www.zomato.com/manipal/dawath-restaurant-kidiyoor
63,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
64,https://www.zomato.com/manipal/sundae-everyday-ice-creams-kunjibettu-udupi
64,https://www.zomato.com/manipal/shivanna-donne-biryani-brahmagiri-udupi
64,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
65,https://www.zomato.com/manipal/dishes-family-restaurant-vidyaratna-nagar
65,https://www.zomato.com/manipal/kathi-junction-tiger-circle
66,https://www.zomato.com/manipal/mcdonalds-eshwar-nagar
66,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
66,https://www.zomato.com/manipal/hotel-thaamboolam-kinnimulki
66,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
66,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
67,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
67,https://www.zomato.com/manipal/barcode-restro-tiger-circle
67,https://www.zomato.com/manipal/shivanna-donne-biryani-brahmagiri-udupi
67,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
68,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
68,https://www.zomato.com/manipal/fish-factory-brahmagiri
68,https://www.zomato.com/manipal/shivanna-donne-biryani-brahmagiri-udupi
68,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
69,https://www.zomato.com/manipal/barista-eshwar-nagar
69,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
69,https://www.zomato.com/manipal/pizza-hut-1-vidyaratna-nagar
69,https://www.zomato.com/manipal/drips-bakery-and-cakes-vidyaratna-nagar
70,https://www.zomato.com/manipal/kathi-junction-tiger-circle
70,https://www.zomato.com/manipal/hashtag-vidyaratna-nagar
71,https://www.zomato.com/manipal/planet-cafe-vidyaratna-nagar
72,https://www.zomato.com/manipal/kathi-junction-tiger-circle
72,https://www.zomato.com/manipal/northy-mess-1-eshwar-nagar
73,https://www.zomato.com/manipal/barista-eshwar-nagar
73,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
73,https://www.zomato.com/manipal/utsaav-om-sweets-and-savouries-maruthi-veethika-udupi
73,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
74,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
74,https://www.zomato.com/manipal/waffee-house-vidyaratna-nagar
75,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle
75,https://www.zomato.com/manipal/dolce-desserts-tiger-circle
75,https://www.zomato.com/manipal/scoops-n-smiles-kidiyoor-udupi
75,https://www.zomato.com/manipal/dominos-pizza-kunjibettu-udupi
76,https://www.zomato.com/manipal/five-star-chicken-eshwar-nagar
77,https://www.zomato.com/manipal/suresh-mess-vidyaratna-nagar
78,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle
78,https://www.zomato.com/manipal/dolce-desserts-tiger-circle
78,https://www.zomato.com/manipal/dominos-pizza-kunjibettu-udupi
78,https://www.zomato.com/manipal/nic-natural-ice-creams-vidyaratna-nagar
79,https://www.zomato.com/manipal/bacchus-inn-vidyaratna-nagar
79,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar
80,https://www.zomato.com/manipal/rolls-mania-eshwar-nagar
80,https://www.zomato.com/manipal/teapot-cafe-vidyaratna-nagar
81,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle
81,https://www.zomato.com/manipal/hotel-udupi-residency-nittur-udupi
81,https://www.zomato.com/manipal/dolce-desserts-tiger-circle
81,https://www.zomato.com/manipal/dominos-pizza-kunjibettu-udupi
82,https://www.zomato.com/manipal/barista-eshwar-nagar
82,https://www.zomato.com/manipal/baskin-robbins-vidyaratna-nagar
82,https://www.zomato.com/manipal/malika-white-lotus-hotel-maruthi-veethika
82,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
82,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi
83,https://www.zomato.com/manipal/barista-eshwar-nagar
83,https://www.zomato.com/manipal/rolls-mania-eshwar-nagar
83,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar
83,https://www.zomato.com/manipal/new-tiwari-chat-eshwar-nagar
