name,link
Drips Bakery and Cakes,"https://www.google.com/maps/dir/?api=1&destination=13.3524510000,74.7840500000"
McDonald's,"https://www.google.com/maps/dir/?api=1&destination=13.3526305659,74.7900811583"
7th Heaven - A Slice of Happiness,"https://www.google.com/maps/dir/?api=1&destination=13.3401940000,74.7491880000"
Domino's Pizza,"https://www.google.com/maps/dir/?api=1&destination=13.3470000000,74.7880000000"
Cloud Nine,"https://www.google.com/maps/dir/?api=1&destination=13.3599090000,74.7833110000"
Hadiqa,"https://www.google.com/maps/dir/?api=1&destination=13.3510260000,74.7878400000"
Foodezze Cafe Grills And Subs,"https://www.google.com/maps/dir/?api=1&destination=13.3571750000,74.7838860000"
Arabian Tasty,"https://www.google.com/maps/dir/?api=1&destination=13.3517191260,74.7842148319"
Mehak E Punjab,"https://www.google.com/maps/dir/?api=1&destination=13.3566340000,74.7945917000"
Subway,"https://www.google.com/maps/dir/?api=1&destination=13.3531877365,74.7858362272"
Dollops,"https://www.google.com/maps/dir/?api=1&destination=13.3517037940,74.7874559462"
Madhuvan Veg,"https://www.google.com/maps/dir/?api=1&destination=13.3508700000,74.7874530000"
Cafe Boda Sheera,"https://www.google.com/maps/dir/?api=1&destination=13.3530426000,74.7902280000"
G2 Ginger Garlic,"https://www.google.com/maps/dir/?api=1&destination=13.3553874499,74.7982534491"
Hot 'n' Spicy,"https://www.google.com/maps/dir/?api=1&destination=13.3548947973,74.7845916823"
Manna Rolls,"https://www.google.com/maps/dir/?api=1&destination=13.3524681000,74.7838122000"
Pai Tiffins,"https://www.google.com/maps/dir/?api=1&destination=13.3528870000,74.7895280000"
KFC,"https://www.google.com/maps/dir/?api=1&destination=13.3486102877,74.7819818929"
Food Chemist,"https://www.google.com/maps/dir/?api=1&destination=13.3488540000,74.7815370000"
Shawarma Broast,"https://www.google.com/maps/dir/?api=1&destination=13.3457833000,74.7557190000"
Snack Shack,"https://www.google.com/maps/dir/?api=1&destination=13.3521513590,74.7874549404"
Manipal Express,"https://www.google.com/maps/dir/?api=1&destination=13.3518800000,74.7870570000"
Pizza Hut,"https://www.google.com/maps/dir/?api=1&destination=13.3529410000,74.7901140000"
Polar Bear,"https://www.google.com/maps/dir/?api=1&destination=13.3530970000,74.7838970000"
New Tiwari Chat,"https://www.google.com/maps/dir/?api=1&destination=13.3494551910,74.7918631509"
Crave Desserts,"https://www.google.com/maps/dir/?api=1&destination=13.3583810000,74.7845030000"
UTSAAV - Om Sweets and Savouries,"https://www.google.com/maps/dir/?api=1&destination=13.3465110000,74.7610370000"
Friendly Fried Chicken,"https://www.google.com/maps/dir/?api=1&destination=13.3457833000,74.7557190000"
Teapot Cafe,"https://www.google.com/maps/dir/?api=1&destination=13.3482190000,74.7828430000"
The Belgian Waffle Co.,"https://www.google.com/maps/dir/?api=1&destination=13.3525460000,74.7890180000"
Bacchus Inn,"https://www.google.com/maps/dir/?api=1&destination=13.3484504407,74.7800684720"
Zebra Spot Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3548625026,74.7934768349"
Natural Ice Cream,"https://www.google.com/maps/dir/?api=1&destination=13.3480319023,74.7768015414"
Red Kitchen,"https://www.google.com/maps/dir/?api=1&destination=13.3494081000,74.7917913000"
Anupam Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3524670000,74.7890190000"
A Cafe Story,"https://www.google.com/maps/dir/?api=1&destination=13.3511680000,74.7838670000"
WarmOven Cake,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429"
Kathi Junction,"https://www.google.com/maps/dir/?api=1&destination=13.3506520000,74.7873990000"
Indiana Burgers,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429"
Country Inn - Mosaic,"https://www.google.com/maps/dir/?api=1&destination=13.3587084836,74.7851603106"
Burger It Up,"https://www.google.com/maps/dir/?api=1&destination=13.3458720000,74.7637350000"
Udupi Sweet House,"https://www.google.com/maps/dir/?api=1&destination=13.3451677000,74.7512907000"
UBQ By Barbeque Nation,"https://www.google.com/maps/dir/?api=1&destination=13.3492854000,74.7828254000"
Odeya Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3439570680,74.7502781823"
Vito's Pizzeria,"https://www.google.com/maps/dir/?api=1&destination=13.3524423717,74.7886324202"
Kediyoor's Pizza,"https://www.google.com/maps/dir/?api=1&destination=13.3431050000,74.7465860000"
Kaati Zone Rolls And Wraps,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429"
Cupcake Bliss Cakes,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429"
Arabian Knights,"https://www.google.com/maps/dir/?api=1&destination=13.3569972090,74.7837930546"
Spice 'n' Ice,"https://www.google.com/maps/dir/?api=1&destination=13.3569270745,74.7839469463"
Hakuna Matata,"https://www.google.com/maps/dir/?api=1&destination=13.3553987906,74.7983430326"
Frozen Bottle,"https://www.google.com/maps/dir/?api=1&destination=13.3528556525,74.7902162746"
Kwality Wall's Frozen Dessert And Ice Cream Shop,"https://www.google.com/maps/dir/?api=1&destination=13.3466450000,74.7628883000"
Hashtag,"https://www.google.com/maps/dir/?api=1&destination=13.3553987906,74.7983430326"
Dolce Desserts,"https://www.google.com/maps/dir/?api=1&destination=13.3489003098,74.7815933588"
New Shanthi Sagar,"https://www.google.com/maps/dir/?api=1&destination=13.3437170000,74.7501700000"
Hotel Swadisht,"https://www.google.com/maps/dir/?api=1&destination=13.3444201450,74.7424880381"
Hotel Kediyoor Gokula Krishna,"https://www.google.com/maps/dir/?api=1&destination=13.3430940000,74.7466610000"
Bamboo Chef Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3251560000,74.7405670000"
Vedanth,"https://www.google.com/maps/dir/?api=1&destination=13.3438230000,74.7496590000"
Crumbz,"https://www.google.com/maps/dir/?api=1&destination=13.3509066703,74.7839141371"
CTF Udupi,"https://www.google.com/maps/dir/?api=1&destination=13.3403277426,74.7481283699"
Scoop N Bake,"https://www.google.com/maps/dir/?api=1&destination=13.3687500000,74.7473610000"
FFC Shawarma,"https://www.google.com/maps/dir/?api=1&destination=13.3457731523,74.7556841746"
Baskin Robbins,"https://www.google.com/maps/dir/?api=1&destination=13.3481193289,74.7828693688"
Hot Chix,"https://www.google.com/maps/dir/?api=1&destination=13.3567868837,74.7838455243"
Hotel Pancharatna Paradise,"https://www.google.com/maps/dir/?api=1&destination=13.3345424000,74.7493575000"
Sundae Everyday Ice Creams,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429"
Hotel Sri Durga Bhavana,"https://www.google.com/maps/dir/?api=1&destination=13.3404230000,74.7482230000"
Kediyoor Confectionery,"https://www.google.com/maps/dir/?api=1&destination=13.3431050000,74.7465860000"
Hotel Parota Point,"https://www.google.com/maps/dir/?api=1&destination=13.3448448360,74.7906380460"
Le Shaay,"https://www.google.com/maps/dir/?api=1&destination=13.3587650000,74.7848310000"
Chef Food Court,"https://www.google.com/maps/dir/?api=1&destination=13.3561066775,74.7946484976"
Summer Park Deluxe A/C,"https://www.google.com/maps/dir/?api=1&destination=13.3441120000,74.7504840000"
Barista,"https://www.google.com/maps/dir/?api=1&destination=13.3527564839,74.7899591178"
Juice Junction,"https://www.google.com/maps/dir/?api=1&destination=13.3528521800,74.7892796100"
Naaniz,"https://www.google.com/maps/dir/?api=1&destination=13.3619873000,74.7832522000"
Wokaholic,"https://www.google.com/maps/dir/?api=1&destination=13.3488540000,74.7815370000"
Hangyo Ice Cream,"https://www.google.com/maps/dir/?api=1&destination=13.3526461000,74.7882572000"
Barbeque Nation,"https://www.google.com/maps/dir/?api=1&destination=13.3492806649,74.7826728970"
LA Rochelle,"https://www.google.com/maps/dir/?api=1&destination=13.3585802489,74.7848915994"
Scoops N Smiles,"https://www.google.com/maps/dir/?api=1&destination=13.3437016342,74.7462967783"
The Dessert Zone,"https://www.google.com/maps/dir/?api=1&destination=13.3458720000,74.7637350000"
Vaibhav,"https://www.google.com/maps/dir/?api=1&destination=13.3532745088,74.7859602794"
Mumbai Carters Blue Family Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3457731523,74.7556841746"
Hotel Swastik,"https://www.google.com/maps/dir/?api=1&destination=13.3392598290,74.7514052660"
Fresh Juice World,"https://www.google.com/maps/dir/?api=1&destination=13.3527822000,74.7892761500"
Kouzina Kafe - The Food Court,"https://www.google.com/maps/dir/?api=1&destination=13.3458720000,74.7637350000"
Saiba,"https://www.google.com/maps/dir/?api=1&destination=13.3515660000,74.7850707000"
Inox,"https://www.google.com/maps/dir/?api=1&destination=13.3492000000,74.7829000000"
Saim Select,"https://www.google.com/maps/dir/?api=1&destination=13.3542740000,74.7923570000"
Yo Dragon,"https://www.google.com/maps/dir/?api=1&destination=13.3530878496,74.7857259167"
Dusk Till Dawn,"https://www.google.com/maps/dir/?api=1&destination=13.3549231306,74.7934923964"
Slurpy Shakes,"https://www.google.com/maps/dir/?api=1&destination=13.3460495671,74.7640695429"
Asian K Flavour,"https://www.google.com/maps/dir/?api=1&destination=13.3529088251,74.7858083993"
Shake Shack,"https://www.google.com/maps/dir/?api=1&destination=13.3373910000,74.7392430000"
Big Boss,"https://www.google.com/maps/dir/?api=1&destination=13.3546276315,74.7958448902"
The Book Cafe,"https://www.google.com/maps/dir/?api=1&destination=13.3461252883,74.7599017397"
Five Star Chicken,"https://www.google.com/maps/dir/?api=1&destination=13.3535260000,74.7919760000"
Ainn Sweet,"https://www.google.com/maps/dir/?api=1&destination=13.3434950000,74.7493230000"
Zafran Foods,"https://www.google.com/maps/dir/?api=1&destination=13.3382340000,74.7881280000"
Red Kitchen Express,"https://www.google.com/maps/dir/?api=1&destination=13.3472253685,74.7922778280"
Shack Point By Snack Shack,"https://www.google.com/maps/dir/?api=1&destination=13.3521513590,74.7874549404"
Hotel Shubham,"https://www.google.com/maps/dir/?api=1&destination=13.3548047635,74.7950828075"
Tiwari Chat,"https://www.google.com/maps/dir/?api=1&destination=13.3459104917,74.7896127775"
Hangyo CTF,"https://www.google.com/maps/dir/?api=1&destination=13.3483206058,74.7878971696"
Makazai,"https://www.google.com/maps/dir/?api=1&destination=13.3484385270,74.7812147851"
Hotel Thaamboolam,"https://www.google.com/maps/dir/?api=1&destination=13.3365307823,74.7497652099"
Mexican Burrito,"https://www.google.com/maps/dir/?api=1&destination=13.3471381000,74.7806482000"
Kediyoor Gazebo,"https://www.google.com/maps/dir/?api=1&destination=13.3430940000,74.7466610000"
Dolphin Lunch Home,"https://www.google.com/maps/dir/?api=1&destination=13.3433770000,74.7484620000"
Machali Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3364587217,74.7400108766"
Sammana Hotel,"https://www.google.com/maps/dir/?api=1&destination=13.3457930000,74.7647560000"
Dawath Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3429712000,74.7468781000"
The Tawa Punjab,"https://www.google.com/maps/dir/?api=1&destination=13.3522575958,74.7843566537"
The Laughing Buddha,"https://www.google.com/maps/dir/?api=1&destination=13.3610551869,74.7829645872"
Ruchitha Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3500146524,74.7874415293"
Hotel Central Park,"https://www.google.com/maps/dir/?api=1&destination=13.3492196000,74.7829272000"
Madhuvan Mandara Multi Cuisine Family Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3508700000,74.7874530000"
Fullfills,"https://www.google.com/maps/dir/?api=1&destination=13.3469395000,74.7841914000"
Malika - White Lotus Hotel,"https://www.google.com/maps/dir/?api=1&destination=13.3439466288,74.7492344677"
The Mill,"https://www.google.com/maps/dir/?api=1&destination=13.3543113671,74.7920692132"
Dishes Family Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3475226151,74.7831712972"
Dolphin Lunch Home,"https://www.google.com/maps/dir/?api=1&destination=13.3554685993,74.7965312004"
Spicy Kitchen,"https://www.google.com/maps/dir/?api=1&destination=13.3538225301,74.7921068454"
Shivanna's Military Hotel,"https://www.google.com/maps/dir/?api=1&destination=13.3368123001,74.7498675534"
Shivanna's Military Hotel,"https://www.google.com/maps/dir/?api=1&destination=13.3582595697,74.7846536606"
Masala Kraft Kitchen,"https://www.google.com/maps/dir/?api=1&destination=13.3549083000,74.7941896000"
Fish Factory,"https://www.google.com/maps/dir/?api=1&destination=13.3394123801,74.7478350058"
Ghar Ki Rasoi,"https://www.google.com/maps/dir/?api=1&destination=13.3435050000,74.7780580000"
Indie Biryani,"https://www.google.com/maps/dir/?api=1&destination=13.3541970000,74.7957550000"
Hotel Chicken Zain,"https://www.google.com/maps/dir/?api=1&destination=13.3535387402,74.7911121324"
Coral,"https://www.google.com/maps/dir/?api=1&destination=13.3451259271,74.7562588379"
Anupam,"https://www.google.com/maps/dir/?api=1&destination=13.3361840000,74.7504700000"
Shetty Lunch Home,"https://www.google.com/maps/dir/?api=1&destination=13.3491338671,74.7875850275"
Payohima,"https://www.google.com/maps/dir/?api=1&destination=13.3510174389,74.7877533361"
Scirocco,"https://www.google.com/maps/dir/?api=1&destination=13.3505130000,74.7869560000"
Biryani Paradise,"https://www.google.com/maps/dir/?api=1&destination=13.3433398507,74.7483107820"
Biryani Box BOXD,"https://www.google.com/maps/dir/?api=1&destination=13.3460130000,74.7851200000"
Hotel Lake View,"https://www.google.com/maps/dir/?api=1&destination=13.3427131713,74.7900191322"
Hotel Sammana Veg,"https://www.google.com/maps/dir/?api=1&destination=13.3457810000,74.7647810000"
Sagar Ratna,"https://www.google.com/maps/dir/?api=1&destination=13.3451269058,74.7562900186"
Jaafna Waffles and Pancakes,"https://www.google.com/maps/dir/?api=1&destination=13.3471381000,74.7806482000"
Malabar Express,"https://www.google.com/maps/dir/?api=1&destination=13.3516887881,74.7839730978"
Supper Cloud,"https://www.google.com/maps/dir/?api=1&destination=13.3542290000,74.7957130000"
Hotel Pingara,"https://www.google.com/maps/dir/?api=1&destination=13.3440380000,74.7904720000"
Time Cafe Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3473110000,74.7932150000"
Kolkata To Manipal,"https://www.google.com/maps/dir/?api=1&destination=13.3566340000,74.7945917000"
Santrupt Military Hotel,"https://www.google.com/maps/dir/?api=1&destination=13.3460896677,74.7591628037"
Leo's Pub,"https://www.google.com/maps/dir/?api=1&destination=13.3398479109,74.7491328791"
Coast Asia,"https://www.google.com/maps/dir/?api=1&destination=13.3528734000,74.7857260000"
Saiba Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3526720000,74.7881500000"
Pisces Multicuisine Deluxe Family Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3400730000,74.7490970000"
Pind Punjabi,"https://www.google.com/maps/dir/?api=1&destination=13.3524370000,74.7891110000"
Swadesh Heritage A/C Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3396350000,74.7496720000"
Swadesh Heritage,"https://www.google.com/maps/dir/?api=1&destination=13.3396348826,74.7496706620"
Hotel Udupi Residency,"https://www.google.com/maps/dir/?api=1&destination=13.3422050000,74.7483400000"
Scirocco Coffee Valley,"https://www.google.com/maps/dir/?api=1&destination=13.3509640000,74.7873530000"
Knight Bite,"https://www.google.com/maps/dir/?api=1&destination=13.3516529046,74.7838483750"
Hotte Tumba Fish Court,"https://www.google.com/maps/dir/?api=1&destination=13.3343180000,74.7476230000"
Golden Spoon Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3540495804,74.7946858537"
Pisces Lounge,"https://www.google.com/maps/dir/?api=1&destination=13.3400730000,74.7490970000"
Dakshin,"https://www.google.com/maps/dir/?api=1&destination=13.3395627857,74.7490517423"
Viraasat The Heritage Fine Dine,"https://www.google.com/maps/dir/?api=1&destination=13.3505625000,74.7366117000"
Heafoo Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3345784747,74.7431653791"
Shivanna Donne Biryani,"https://www.google.com/maps/dir/?api=1&destination=13.3582595697,74.7846536606"
Food Hut,"https://www.google.com/maps/dir/?api=1&destination=13.3435190614,74.7447583882"
K P Foods and Snacks,"https://www.google.com/maps/dir/?api=1&destination=13.3560437000,74.7946473000"
